Word(s),Spoken Form (If Different)
# Kohl's
Kohls,coles
KDS,k d s
PMP,p m p
PDP,p d p
PICS,picks
OIC,o i c
SKU,skew
SKUs,skews
CNC,c n c
MFE,m f e
TVS,t v s
OLM,o l m
KADO,kado
AEM,A E M

# Additional words
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
Artium
Aresty
Schwa
jaresty
npm,n p m
git,git
URL,u r l
WIP,wip
CSV,c s v
TDD,t d d
BDD,b d d
PR,p r
MR,m r
API,a p i
APIs,a pis
DTO,d t o
DTOs,d t os
JSON,jason
ID,i d
IDs,ides
CSS,c s s
HTML,h t m l
HTTP,h t t p
com,com
Jira,jira
UUID,u u i d
UUIDs,u u i des
ChatGPT,chat g p t
vitest,v test
bot
diff
vite
LLM,L L M
QR,Q R
SVG,S V G
tmux,T mux
